Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2
2018-07-22,18-58-48.332,Auto,Idle,None,3.69,2.6,0.03,0.14,0.33,1.05,NC,NC,0,0,0,0,0,0,14.05,0.2,0.14,1.56,243,150,-515,16,75,-515,1,1
2018-07-22,18-58-48.356,Auto,Idle,None,3.66,2.6,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.2,0.14,1.56,243,150,-515,16,75,-515,1,1
2018-07-22,18-58-48.373,Auto,Idle,None,3.66,2.62,0.03,0.14,0.33,1.05,NC,NC,0,0,0,0,0,0,13.6,0.24,0.14,1.56,243,124,-515,15,240,-515,1,1
2018-07-22,18-58-48.388,Auto,Idle,None,3.66,2.61,0.03,0.14,0.31,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.14,1.56,243,124,-515,15,240,-515,1,1
2018-07-22,18-58-48.423,Auto,Idle,None,3.67,2.63,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.26,0.14,1.56,243,228,-515,16,21,-515,1,1
2018-07-22,18-58-48.443,Auto,Idle,None,3.68,2.62,0.03,0.14,0.31,1.05,NC,NC,0,0,0,0,0,0,13.9,0.24,0.14,1.56,243,228,-515,16,21,-515,1,1
2018-07-22,18-58-48.450,Auto,Idle,None,3.67,2.61,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.22,0.14,1.56,243,228,-515,16,21,-515,1,1
2018-07-22,18-58-48.468,Auto,Idle,None,3.68,2.61,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.22,0.14,1.56,243,228,-515,16,21,-515,1,1
2018-07-22,18-58-48.524,Auto,Idle,None,3.68,2.61,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.22,0.14,1.56,243,138,-515,15,244,-515,1,1
2018-07-22,18-58-48.528,Auto,Idle,None,3.68,2.6,0.03,0.14,0.33,1.05,NC,NC,0,0,0,0,0,0,13.9,0.2,0.14,1.56,243,86,-515,16,74,-515,1,1
2018-07-22,18-58-48.533,Auto,Idle,None,3.67,2.62,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.24,0.14,1.56,243,86,-515,16,74,-515,1,1
2018-07-22,18-58-48.577,Auto,Idle,None,3.66,2.62,0.03,0.14,0.33,1.05,NC,NC,0,0,0,0,0,0,13.6,0.24,0.14,1.44,243,140,-515,15,216,-515,1,1
2018-07-22,18-58-48.581,Auto,Idle,None,3.67,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.2,0.05,1.44,243,140,-515,15,216,-515,1,1
2018-07-22,18-58-48.590,Auto,Idle,None,3.67,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.24,0.05,1.56,243,140,-515,15,216,-515,1,1
2018-07-22,18-58-48.608,Auto,Idle,None,3.67,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.22,0.05,1.56,243,140,-515,15,216,-515,1,1
2018-07-22,18-58-48.638,Auto,Idle,None,3.67,2.6,0.01,0.05,0.31,1.05,NC,NC,0,0,0,0,0,0,13.75,0.2,0.05,1.44,243,110,-515,15,239,-515,1,1
2018-07-22,18-58-48.654,Auto,Idle,None,3.66,2.62,0.01,0.05,0.31,1.05,NC,NC,0,0,0,0,0,0,13.6,0.24,0.05,1.56,243,110,-515,15,239,-515,1,1
2018-07-22,18-58-48.670,Auto,Idle,None,3.67,2.59,0.01,0.05,0.31,1.05,NC,NC,0,0,0,0,0,0,13.75,0.18,0.05,1.44,243,112,-515,16,31,-515,1,1
2018-07-22,18-58-48.701,Auto,Idle,None,3.66,2.6,0.01,0.05,0.31,1.05,NC,NC,0,0,0,0,0,0,13.6,0.2,0.05,1.56,243,112,-515,16,31,-515,1,1
2018-07-22,18-58-48.716,Auto,Idle,None,3.67,2.63,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.26,0.05,1.56,243,140,-515,15,244,-515,1,1
2018-07-22,18-58-48.731,Auto,Idle,None,3.65,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.22,0.05,1.56,243,140,-515,15,244,-515,1,1
2018-07-22,18-58-48.749,Auto,Idle,None,3.65,2.62,0.01,0.05,0.33,1.05,NC,NC,0,0,0,0,0,0,13.45,0.24,0.05,1.56,243,154,-515,15,231,-515,1,1
2018-07-22,18-58-48.778,Auto,Idle,None,3.66,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.05,1.56,243,154,-515,15,231,-515,1,1
2018-07-22,18-58-48.793,Auto,Idle,None,3.67,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.24,0.05,1.56,243,154,-515,15,231,-515,1,1
2018-07-22,18-58-48.809,Auto,Idle,None,3.66,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.24,0.05,1.56,243,98,-515,16,30,-515,1,1
2018-07-22,18-58-48.825,Auto,Idle,None,3.66,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.24,0.05,1.56,243,98,-515,16,30,-515,1,1
2018-07-22,18-58-48.862,Auto,Idle,None,3.66,2.62,0.01,0.05,0.31,1.05,NC,NC,0,0,0,0,0,0,13.6,0.24,0.05,1.56,243,174,-515,16,0,-515,1,1
